site_id,metadata/enumerator_name,metadata/enumerator_id,metadata/assessment_date,metadata/site_id,metadata/site_name,location/division,location/district,location/upazila,location/gps_point,site_profile/site_type,site_profile/site_status,site_profile/hh_estimate,site_profile/pop_estimate,shelter/disaster_context,shelter/disaster_type,shelter/shelter_type_majority,shelter/shelter_damage_pct,shelter/shelter_priority_need,wash/water_source_type,wash/water_functionality,wash/latrine_ratio,wash/wash_priority_need,health/health_facility_onsite,health/health_facility_distance_km,health/health_key_concerns,health/health_priority_need,protection/protection_concerns,protection/gbv_referral_pathway,protection/child_friendly_space_present,priority_needs/top_priority_1,priority_needs/top_priority_2,priority_needs/top_priority_3,closing/enumerator_remarks
SITE-001,S. Nasrin,ENUM-02,2026-04-26,SITE-001,Naikhongchhari Site 1,chattogram,bandarban,naikhongchhari,21.49918 92.370193 0 5,transit_center,existing,31,186,yes,riverbank_erosion,tarpaulin,none,no,piped_supply,partially_functional,50_100,yes,no,9.2,mental_health,no,gbv_risk,yes,yes,shelter,nutrition,wash,
SITE-002,M. Hossain,ENUM-03,2026-07-12,SITE-002,Coxs Bazar Sadar Site 2,chattogram,coxs_bazar,coxs_bazar_sadar,21.403333 91.963896 0 5,transit_center,existing,37,222,no,,damaged_no_shelter,,no,piped_supply,non_functional,lt_20,yes,no,8.1,diarrhea respiratory_infection,yes,gbv_risk,no,no,nutrition,food_security,shelter,
SITE-003,M. Hossain,ENUM-03,2026-04-15,SITE-003,Teknaf Site 3,chattogram,coxs_bazar,teknaf,20.854611 92.28827 0 5,host_community,new,326,1630,no,,damaged_no_shelter,,yes,pond_river,functional,20_50,yes,yes,,skin_disease malnutrition,yes,,unknown,no,health,food_security,education,
SITE-004,F. Akter,ENUM-04,2026-06-17,SITE-004,Teknaf Site 4,chattogram,coxs_bazar,teknaf,20.871726 92.299438 0 5,planned_camp,new,397,1588,yes,cyclone,makeshift,severe_76_100,yes,piped_supply,non_functional,20_50,no,no,7.4,skin_disease maternal_health,no,gbv_risk unsafe_shelter_lighting,yes,yes,livelihoods,food_security,protection,
SITE-005,M. Hossain,ENUM-03,2026-05-26,SITE-005,Naikhongchhari Site 5,chattogram,bandarban,naikhongchhari,21.545587 92.370753 0 5,transit_center,existing,271,1084,yes,cyclone landslide,semi_pucca,none,yes,tubewell,non_functional,50_100,no,no,0.7,malnutrition respiratory_infection,yes,,unknown,yes,health,food_security,shelter,
SITE-006,S. Nasrin,ENUM-02,2026-07-21,SITE-006,Ukhiya Site 6,chattogram,coxs_bazar,ukhiya,21.233814 92.163061 0 5,host_community,new,123,492,yes,riverbank_erosion cyclone,tarpaulin,moderate_26_50,yes,tubewell,partially_functional,lt_20,yes,no,7.3,diarrhea,yes,,yes,yes,protection,education,health,
SITE-007,F. Akter,ENUM-04,2026-04-13,SITE-007,Coxs Bazar Sadar Site 7,chattogram,coxs_bazar,coxs_bazar_sadar,21.401451 91.95538 0 5,spontaneous_settlement,new,139,695,yes,riverbank_erosion,pucca,severe_76_100,no,water_trucking,non_functional,lt_20,yes,no,1.2,malnutrition diarrhea respiratory_infection,yes,,unknown,no,nutrition,livelihoods,protection,
SITE-008,S. Nasrin,ENUM-02,2026-09-10,SITE-008,Teknaf Site 8,chattogram,coxs_bazar,teknaf,20.857713 92.292413 0 5,spontaneous_settlement,existing,241,964,no,,pucca,,no,water_trucking,functional,gt_100,yes,yes,,skin_disease,yes,gbv_risk,no,no,wash,shelter,education,
SITE-009,F. Akter,ENUM-04,2026-08-26,SITE-009,Ramu Site 9,chattogram,coxs_bazar,ramu,21.438995 92.11353 0 5,transit_center,existing,397,1588,yes,cyclone flood,damaged_no_shelter,severe_76_100,yes,piped_supply,functional,lt_20,yes,yes,,diarrhea maternal_health,yes,unsafe_shelter_lighting child_labor,unknown,yes,education,shelter,livelihoods,
SITE-010,M. Hossain,ENUM-03,2026-07-14,SITE-010,Ramu Site 10,chattogram,coxs_bazar,ramu,21.436642 92.103614 0 5,collective_center,new,357,1785,no,,makeshift,,yes,water_trucking,non_functional,lt_20,yes,yes,,respiratory_infection maternal_health malnutrition,yes,child_labor,yes,no,education,wash,health,
