osm_id,feature_type,reason_category,reason_detail
555453163,building,area_too_small,"0.9 m^2, below 4.0 m^2 review threshold"
555453164,building,area_too_small,"0.6 m^2, below 4.0 m^2 review threshold"
555453165,building,area_too_small,"2.4 m^2, below 4.0 m^2 review threshold"
555454572,building,area_too_small,"1.8 m^2, below 4.0 m^2 review threshold"
555454573,building,area_too_small,"2.4 m^2, below 4.0 m^2 review threshold"
555460066,building,area_too_small,"2.2 m^2, below 4.0 m^2 review threshold"
555461184,building,area_too_small,"2.4 m^2, below 4.0 m^2 review threshold"
555461595,building,area_too_small,"3.9 m^2, below 4.0 m^2 review threshold"
555462040,building,area_too_small,"2.9 m^2, below 4.0 m^2 review threshold"
555468738,building,area_too_small,"2.6 m^2, below 4.0 m^2 review threshold"
555468739,building,area_too_small,"3.1 m^2, below 4.0 m^2 review threshold"
555468805,building,area_too_small,"2.8 m^2, below 4.0 m^2 review threshold"
555470052,building,area_too_small,"3.2 m^2, below 4.0 m^2 review threshold"
555470757,building,area_too_small,"2.2 m^2, below 4.0 m^2 review threshold"
555470791,building,area_too_small,"2.3 m^2, below 4.0 m^2 review threshold"
555470792,building,area_too_small,"2.4 m^2, below 4.0 m^2 review threshold"
555480483,building,area_too_small,"2.9 m^2, below 4.0 m^2 review threshold"
555480484,building,area_too_small,"3.8 m^2, below 4.0 m^2 review threshold"
555480485,building,area_too_small,"1.6 m^2, below 4.0 m^2 review threshold"
555480486,building,area_too_small,"2.4 m^2, below 4.0 m^2 review threshold"
556709275,building,area_too_small,"2.5 m^2, below 4.0 m^2 review threshold"
558037328,building,area_too_small,"3.9 m^2, below 4.0 m^2 review threshold"
558037329,building,area_too_small,"3.9 m^2, below 4.0 m^2 review threshold"
558037330,building,area_too_small,"3.9 m^2, below 4.0 m^2 review threshold"
558037331,building,area_too_small,"3.9 m^2, below 4.0 m^2 review threshold"
558037338,building,area_too_small,"3.9 m^2, below 4.0 m^2 review threshold"
558037339,building,area_too_small,"3.9 m^2, below 4.0 m^2 review threshold"
642826493,building,area_too_small,"3.7 m^2, below 4.0 m^2 review threshold"
642826548,building,area_too_small,"3.9 m^2, below 4.0 m^2 review threshold"
642826563,building,area_too_small,"3.4 m^2, below 4.0 m^2 review threshold"
642826570,building,area_too_small,"3.3 m^2, below 4.0 m^2 review threshold"
657943447,building,area_too_small,"3.9 m^2, below 4.0 m^2 review threshold"
657943450,building,area_too_small,"3.5 m^2, below 4.0 m^2 review threshold"
657943453,building,area_too_small,"3.0 m^2, below 4.0 m^2 review threshold"
657943459,building,area_too_small,"3.8 m^2, below 4.0 m^2 review threshold"
685038107,building,area_too_small,"3.8 m^2, below 4.0 m^2 review threshold"
685038108,building,area_too_small,"4.0 m^2, below 4.0 m^2 review threshold"
685556563,building,area_too_small,"2.2 m^2, below 4.0 m^2 review threshold"
